Taxon,Level,CRS12,CRS14,CRS21,CRS31,CRS38,CRS40,CRS46,CRS49,CRS52,CRS54,CRS59,CRS62,CRS66,CRS73,CRS9,CRSwNP1,CRSwNP13,CRSwNP16,CRSwNP24,CRSwNP27,CRSwNP30,CRSwNP39,CRSwNP42,CRSwNP45,CRSwNP47,CRSwNP48,CRSwNP57,CRSwNP69,CRSwNP72,CRSwNP74,CRSwNP79,control11,control17,control26,control33,control35,control53,control58,control7,control71
Gp4,genus,0,0,0,0,0.00022216,0,0,0,0,0.013419272,0.006360898,0.010142626,0,0,0,0,0.006692667,0.000245368,0,0,0.000130579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008074364
Gp5,genus,0,0,0,0,0,0,0,0,0,0.008595047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004488146,0,0,0,0.015997838
Gp6,genus,0.012815696,0.005610513,0,0,0.000101753,0,0.010197552,0,0.020922405,0.01328715,0.046390466,0.016678905,0,0.025817457,0,0.006788523,0.009055656,0.000203544,0.015860575,0,0.007956613,0.002337197,0,0,0,0,0,0.011034888,0.004219425,0,0.009890951,0,0,0.014850479,0,0.025743256,0,0,0,0.013706417
Gp7,genus,0,0.023272489,0,0,0,0,0,0,0,0.010716135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004980404,0,0,0,0,0,0,0,0.003639138,0,0,0,0
Haemophilus,genus,0,0,8.46E-05,0.003521067,0,0,0.00365003,0.011235291,0,0,0,0,0.004746906,0.003884144,0.002234943,0,0,0.019437048,0,0.005989754,0.006111097,0,0.0041263,0.003479571,0,0,0.005551501,0.010123839,0,0.01044619,0.008775918,0.017124251,0.000276301,0.011413379,0.001711858,0,0.007355252,0.010425587,0.00090883,0
Helcococcus,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016701752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbaspirillum,genus,0,0,0,0,0,0.002958633,0.002681195,0,0,0,0,0,0,0,0,0,0.012477916,0,0.005425799,0,0,0,0,0,0,0,0,0,0.005461955,0,0,0,0,0,0,0,0,0,0,0
Hydrogenophaga,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013665747,0,0,0,0,0,0
Hyphomicrobiaceae,family,0,0.018184543,0,0,0,0,0,0,0.004272079,0,0,0.008851286,0,0.00493682,0,0,0,0,0,0,0.000542628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilumatobacter,genus,0,0,0,0,0,0,0,0,0,0,0.002246739,0,0,0.011245193,0,0.001136683,0.007270451,0,0,0,0,0,0,0,0,0,0,0.008420016,0,0,0,0,0,0,0,0,0,0,0,0
Kingella,genus,0,0,0,0,0,0,0,0.019720236,0,0,0,0,0,0,0.005361122,0,0,0,0,0,0,0.003290744,0,0,0,0,0,0,0,0.007599491,0,0,0,0,0,0,0,0,0,0
Klebsiella,genus,0,0,0,0,0,0.001507902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021582871,0,0,0.002835573,0.004612788,0,0.004441746,0,0,0.002792812,0.006543579,0,0,0,0.000949473,0,0
Lachnospiraceae,family,0,0,0,0,0,0,0.004316949,0.010227687,0.01272527,0.012137335,0.00512892,0,0,0.003380857,0.002553731,0,0,0,0,0.003009638,0,0.015578873,0.000985026,0.007226067,0.008917967,0.036593301,0,0.004219598,0,0.025617801,0,0.004634627,0.017997519,0,0.011864301,0,0.00528038,0.012194214,0,0
Lactobacillus,genus,0,0,0.000384331,0.009413237,0,0,0,0.020565903,0,0,0,0,0.029543688,0,0.011651184,0.001108266,0.006037104,0,0.002351298,0.003349912,0,0.047249081,0.001456518,0.025055292,0.021958868,0.009760612,0.022011582,0,0,0,0,0.040372195,0.018135669,0.065618317,0.070642259,0,0.012696858,0.020532357,0.106069736,0.007660294
Lautropia,genus,0,0,7.69E-05,0.011233703,0,0,0,0.057176346,0,0,0,0,0.017907638,0,0.015973674,0,0,0,0,0.007316668,0,0.002177967,0.010042464,0.024261664,0.042399455,0.037315946,0,0,0,0.035230386,0,0.007106903,0.016261154,0.038238606,0.025718481,0,0.01415267,0,0.035355481,0
