genus,species,CRS12,CRS14,CRS21,CRS31,CRS38,CRS40,CRS46,CRS49,CRS52,CRS54,CRS59,CRS62,CRS66,CRS73,CRS9,CRSwNP1,CRSwNP13,CRSwNP16,CRSwNP24,CRSwNP27,CRSwNP30,CRSwNP39,CRSwNP42,CRSwNP45,CRSwNP47,CRSwNP48,CRSwNP57,CRSwNP69,CRSwNP72,CRSwNP74,CRSwNP79,control11,control17,control26,control33,control35,control53,control58,control7,control71
Sphingomonas,Kaistobacter_koreensis,0,0,0,0,1,0,0,0,0,0,0.108910891,0.5,0,0,0,0,0.087378641,1,0,0,0.318181818,0.042253521,0,0,0,0,0,0,0.1,0,0.31372549,0,0.157142857,0,0,0.238095238,0.535353535,0,0,0
Sphingomonas,Kaistobacter_terrae,0,0,0,0,0,0,0,0,0,0,0.356435644,0,0,0,0,0,0.058252427,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0.078431373,0,0.057142857,0,0,0.5,0,0,0,0
Sphingomonas,Sphingomonas_adhaesiva,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingomonas,Sphingomonas_asaccharolytica,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0.048543689,0,0,0.333333333,0.022727273,0.098591549,0,0,0,0,0,0.041666667,0.08,0,0,0.166666667,0,0.106382979,0.184210526,0,0,0,0,0
Sphingomonas,Sphingomonas_aurantiaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0
Sphingomonas,Sphingomonas_azotifigens,0,0,0,0,0,0,0,0,0,0,0.00990099,0,0,0,0,0,0.048543689,0,0,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingomonas,Sphingomonas_dokdonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.388888889,0
Sphingomonas,Sphingomonas_echinoides,0,0,0,0,0,0,0,0,0,0.011363636,0,0,0,0,0,0,0.009708738,0,0,0.166666667,0.022727273,0.056338028,0,0,0,0,0,0.013888889,0.04,0,0,0.020833333,0,0.085106383,0.026315789,0,0,0,0,0
Sphingomonas,Sphingomonas_melonis,0,0,1,0.590909091,0,0,0,0,0.888888889,0.715909091,0.128712871,0.235294118,0.571428571,0.727272727,0.571428571,0,0.223300971,0,0.615384615,0.5,0.227272727,0.436619718,0.608695652,0.351851852,0.625,0.5,0.5,0.180555556,0.26,0,0.588235294,0.166666667,0.328571429,0.510638298,0.526315789,0,0.171717172,0.48,0.611111111,0
Sphingomonas,Sphingomonas_oligophenolica,0,0,0,0,0,0,0,0,0,0.034090909,0,0,0,0,0,0,0,0,0,0,0,0.084507042,0,0,0,0,0,0.027777778,0.1,0,0,0.020833333,0,0.021276596,0.184210526,0,0,0,0,0
Sphingomonas,Sphingomonas_panni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048543689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingomonas,Sphingomonas_paucimobilis,0,0,0,0,0,1,0,0,0,0,0.00990099,0,0,0.227272727,0,0,0.009708738,0,0,0,0,0,0,0,0,0,0,0.736111111,0,0,0,0,0,0,0,0.261904762,0,0,0,0
Sphingomonas,Sphingomonas_phyllosphaerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingomonas,Sphingomonas_pituitosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingomonas,Sphingomonas_suberifaciens,0,0,0,0,0,0,0,0,0,0,0.079207921,0,0,0,0,0,0.174757282,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingomonas,Sphingomonas_wittichii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.087378641,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0
Sphingomonas,Sphingomonas_yunnanensis,0,0,0,0.045454545,0,0,0,0,0.055555556,0.011363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingomonas,Sphingosinicella_microcystinivorans,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingopyxis,Sphingopyxis_alaskensis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingopyxis,Sphingopyxis_macrogoltabida,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporosarcina,Bacillus_niacini,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporosarcina,Sporosarcina_aquimarina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporosarcina,Sporosarcina_ginsengisoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporosarcina,Sporosarcina_globispora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus,Bacillus_pumilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus,Geobacillus_stearothermophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002724796,0,0,0,0,0,0,0.001173709,0.002702703,0,0,0,0,0,0,0,0,0.001636661,0,0,0,0,0,0,0
Staphylococcus,Staphylococcus_USA300,0,0,0,0.003436426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001173709,0,0.002570694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus,Staphylococcus_aureus,0,0.545454545,0.432608696,0.93814433,0.5,0.544378698,0.5390625,0.181818182,0,0.473684211,0.4375,0.476190476,0.314516129,0.508474576,0.298245614,0.520435967,0.561576355,0.166666667,0.347826087,0.5,0.279411765,0.229508197,0.636150235,0.362162162,0.98714653,0.348837209,0.187390543,0.58,0.333333333,0.40776699,0.413333333,0.344827586,0.471358429,0,0.287128713,0.479289941,0.74137931,0.1,0.346666667,0.5
Staphylococcus,Staphylococcus_capitis,0,0,0,0,0,0.00591716,0,0,0,0,0,0.047619048,0,0,0.005012531,0.002724796,0,0,0,0,0.014705882,0,0.002347418,0.002702703,0,0,0.001751313,0,0,0,0,0,0,0,0,0,0.017241379,0.1,0,0
Staphylococcus,Staphylococcus_caprae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002506266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01183432,0,0,0,0
Staphylococcus,Staphylococcus_carnosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119089317,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus,Staphylococcus_cohnii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002506266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004854369,0,0,0,0,0,0,0,0.3,0,0
Staphylococcus,Staphylococcus_epidermidis,0,0,0.45,0.003436426,0.5,0.431952663,0.45703125,0.727272727,0,0.473684211,0.5,0.428571429,0.677419355,0.474576271,0.506265664,0.435967302,0.251231527,0.833333333,0.608695652,0.5,0.220588235,0.360655738,0.281690141,0.616216216,0,0.627906977,0.211908932,0.4,0.583333333,0.558252427,0.573333333,0.620689655,0.477905074,0,0.326732673,0.49704142,0.224137931,0.375,0.6,0.454545455
Staphylococcus,Staphylococcus_equorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004854369,0,0,0,0,0,0,0,0,0,0
Staphylococcus,Staphylococcus_haemolyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002724796,0,0,0,0,0,0,0,0.002702703,0,0,0,0,0,0,0,0,0.018003273,0,0.168316832,0,0,0,0,0
Staphylococcus,Staphylococcus_hominis,0,0.363636364,0,0.008591065,0,0,0,0,0,0,0,0,0,0,0.120300752,0.016348774,0.088669951,0,0,0,0,0.147540984,0,0,0,0,0.017513135,0,0,0,0,0,0.006546645,0,0.207920792,0,0,0,0,0
Staphylococcus,Staphylococcus_lugdunensis,0,0.060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002724796,0.004926108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003273322,0,0,0,0,0,0,0
Staphylococcus,Staphylococcus_pasteuri,0,0.03030303,0.017391304,0.013745704,0,0.017751479,0.00390625,0.090909091,0,0.052631579,0.0625,0.047619048,0.008064516,0.016949153,0.020050125,0.016348774,0.004926108,0,0.043478261,0,0.014705882,0.098360656,0.021126761,0.010810811,0.007712082,0.023255814,0.010507881,0.02,0.083333333,0.009708738,0.013333333,0.034482759,0.021276596,0,0.00990099,0.01183432,0.017241379,0,0.04,0.045454545
Staphylococcus,Staphylococcus_pettenkoferi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073891626,0,0,0,0.397058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus,Staphylococcus_pseudintermedius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448336252,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus,Staphylococcus_saprophyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015037594,0,0.014778325,0,0,0,0.073529412,0,0,0,0,0,0,0,0,0.014563107,0,0,0,0,0,0,0,0.125,0,0
Staphylococcus,Staphylococcus_warneri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030075188,0,0,0,0,0,0,0.163934426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0
