genus,species,CRS_11,CRS_17,CRS_21,CRS_26,CRS_27,CRS_31,CRS_33,CRS_39,CRS_42,CRS_45,CRS_47,CRS_48,CRS_49,CRS_53,CRS_57,CRS_58,CRS_66,CRS_74,CRS_7,CRS_9
Bifidobacterium,Bifidobacterium_longum,0,0,0,0.2,0,0,0,0,0.056338028,0.0125,0.130434783,0.153846154,0,0.088888889,0,0,0.25,0.027777778,0,0
Bifidobacterium,Bifidobacterium_pseudolongum,0,0,0.904761905,0,0,0,0,0,0.549295775,0,0,0.769230769,0,0,0,0,0.75,0.222222222,0,0
Bifidobacterium,Bifidobacterium_thermacidophilum,0,0,0,0,0,0,0,0,0.11971831,0,0,0,0,0,0,0,0,0.083333333,0,0
Blastococcus,Blastococcus_aggregatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961538462,0,0,0,0,0,0
Blastococcus,Blastococcus_saxobsidens,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Blautia,mpn-isolate_group,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Blautia,Ruminococcus_luti,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Blautia,Ruminococcus_obeum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Bosea,Bosea_minatitlanensis,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosea,Bosea_thiooxidans,0.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachybacterium,Brachybacterium_paraconglomeratum,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bradyrhizobium,Bradyrhizobium_elkanii,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647058824,0,0,0,0,0,0
Bradyrhizobium,Bradyrhizobium_genosp.,0.333333333,0,0,0.224,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.111111111,0,0
Bradyrhizobium,Bradyrhizobium_japonicum,0.666666667,0,0,0.128,0,0,0,0,0.333333333,0,0,0,0,0.352941176,0,0,0,0.444444444,0,0
Bradyrhizobium,Bradyrhizobium_yuanmingense,0,0,0,0.648,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.444444444,0,0
Brevibacterium,Brevibacterium_casei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brevibacterium,Brevibacterium_mcbrellneri,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0
Brevibacterium,Brevibacterium_paucivorans,0,0,0,0,1,0.833333333,0,0,0,0,0,0,0,1,0.947368421,0,0,0,0,0
Brevibacterium,Brevibacterium_samyangensis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brevundimonas,Brevundimonas_diminuta,0,0,0,0,0,0,0.909090909,0,0,1,0,0,0,0,0,0,0,0,0,1
Brevundimonas,Brevundimonas_vesicularis,1,1,0,0,0,0,0.090909091,0,0,0,0,0,0,0.916666667,0,0,0,1,0,0
Brucella,Brucella_melitensis,0,0,0,0,0,1,1,1,0,1,0,0.857142857,1,1,0,0,0,0,0,0
